age,female,male
0,0.00315,0.00383
1,0.0003,0.00026
2,0.0003,0.00026
3,0.0003,0.00026
4,0.0003,0.00026
5,0.00009,0.00009
6,0.00009,0.00009
7,0.00009,0.00009
8,0.00009,0.00009
9,0.00009,0.00009
10,0.00009,0.0001
11,0.00009,0.0001
12,0.00009,0.0001
13,0.00009,0.0001
14,0.00009,0.0001
15,0.00015,0.00028
16,0.00015,0.00028
17,0.00015,0.00028
18,0.00015,0.00028
19,0.00015,0.00028
20,0.00023,0.00061
21,0.00023,0.00061
22,0.00023,0.00061
23,0.00023,0.00061
24,0.00023,0.00061
25,0.00027,0.00069
26,0.00027,0.00069
27,0.00027,0.00069
28,0.00027,0.00069
29,0.00027,0.00069
30,0.00037,0.00086
31,0.00037,0.00086
32,0.00037,0.00086
33,0.00037,0.00086
34,0.00037,0.00086
35,0.00053,0.00122
36,0.00053,0.00122
37,0.00053,0.00122
38,0.00053,0.00122
39,0.00053,0.00122
40,0.00083,0.00176
41,0.00083,0.00176
42,0.00083,0.00176
43,0.00083,0.00176
44,0.00083,0.00176
45,0.00136,0.00265
46,0.00136,0.00265
47,0.00136,0.00265
48,0.00136,0.00265
49,0.00136,0.00265
50,0.00217,0.00425
51,0.00217,0.00425
52,0.00217,0.00425
53,0.00217,0.00425
54,0.00217,0.00425
55,0.00331,0.0066
56,0.00331,0.0066
57,0.00331,0.0066
58,0.00331,0.0066
59,0.00331,0.0066
60,0.00501,0.01029
61,0.00501,0.01029
62,0.00501,0.01029
63,0.00501,0.01029
64,0.00501,0.01029
65,0.00745,0.01546
66,0.00745,0.01546
67,0.00745,0.01546
68,0.00745,0.01546
69,0.00745,0.01546
70,0.01405,0.02662
71,0.01405,0.02662
72,0.01405,0.02662
73,0.01405,0.02662
74,0.01405,0.02662
75,0.01405,0.02662
76,0.01405,0.02662
77,0.01405,0.02662
78,0.01405,0.02662
79,0.01405,0.02662
80,0.05049,0.07598
81,0.05049,0.07598
82,0.05049,0.07598
83,0.05049,0.07598
84,0.05049,0.07598
85,0.05049,0.07598
86,0.05049,0.07598
87,0.05049,0.07598
88,0.05049,0.07598
89,0.05049,0.07598
90,0.18747,0.23358
91,0.18747,0.23358
92,0.18747,0.23358
93,0.18747,0.23358
94,0.18747,0.23358
95,0.18747,0.23358
96,0.18747,0.23358
97,0.18747,0.23358
98,0.18747,0.23358
99,0.18747,0.23358
100+,1,1
