dpt,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
1,1900,3210,3210,98.6,0.16,0.31,0.93,0.0,0.0,0.0
1,1901,3660,3660,99.18,0.0,0.27,0.55,0.14,0.0,0.0
1,1902,3520,3520,99.01,0.0,0.14,0.85,0.0,0.0,0.0
1,1903,3580,3580,99.16,0.0,0.0,0.84,0.0,0.0,0.0
1,1904,3765,3765,98.94,0.0,0.13,0.93,0.0,0.0,0.0
1,1905,3750,3750,98.93,0.13,0.13,0.8,0.0,0.0,0.0
1,1906,3870,3870,98.84,0.13,0.0,1.03,0.0,0.0,0.0
1,1907,3720,3720,98.25,0.13,0.27,1.34,0.0,0.0,0.0
1,1908,3965,3965,98.87,0.13,0.13,0.88,0.0,0.0,0.0
1,1909,4005,4005,98.88,0.12,0.12,0.87,0.12,0.0,0.0
1,1910,4110,4110,98.78,0.24,0.0,0.97,0.0,0.0,0.0
1,1911,3900,3900,98.85,0.13,0.0,1.03,0.0,0.0,0.0
1,1912,4285,4285,99.07,0.0,0.0,0.93,0.0,0.0,0.0
1,1913,4280,4280,98.6,0.12,0.12,1.17,0.0,0.0,0.0
1,1914,4150,4150,99.28,0.0,0.0,0.72,0.0,0.0,0.0
1,1915,2415,2415,98.76,0.0,0.0,1.24,0.0,0.0,0.0
1,1916,1790,1790,98.88,0.0,0.28,0.84,0.0,0.0,0.0
1,1917,2080,2080,99.28,0.0,0.0,0.72,0.0,0.0,0.0
1,1918,2565,2565,99.03,0.0,0.0,0.97,0.0,0.0,0.0
1,1919,2770,2770,99.1,0.0,0.18,0.72,0.0,0.0,0.0
1,1920,4940,4940,99.19,0.0,0.0,0.81,0.0,0.0,0.0
1,1921,4810,4810,98.75,0.0,0.1,1.14,0.0,0.0,0.0
1,1922,4650,4650,98.92,0.0,0.0,1.08,0.0,0.0,0.0
1,1923,4540,4540,99.01,0.0,0.22,0.77,0.11,0.0,0.0
1,1924,4420,4420,99.55,0.0,0.0,0.45,0.0,0.0,0.0
1,1925,4495,4495,99.0,0.0,0.11,0.89,0.11,0.0,0.0
1,1926,4675,4675,98.72,0.0,0.11,1.18,0.11,0.0,0.0
1,1927,4420,4420,99.55,0.0,0.0,0.45,0.0,0.0,0.0
1,1928,4525,4525,99.12,0.0,0.11,0.77,0.0,0.0,0.0
1,1929,4345,4345,99.42,0.0,0.0,0.58,0.0,0.0,0.0
1,1930,4550,4550,99.34,0.0,0.11,0.55,0.11,0.0,0.0
1,1931,4385,4385,99.54,0.0,0.0,0.46,0.0,0.0,0.0
1,1932,4435,4435,99.77,0.0,0.0,0.23,0.0,0.0,0.0
1,1933,4170,4170,99.4,0.0,0.0,0.6,0.0,0.0,0.0
1,1934,3925,3925,99.75,0.0,0.13,0.13,0.0,0.0,0.0
1,1935,3895,3895,99.36,0.0,0.0,0.64,0.0,0.0,0.0
1,1936,3780,3780,99.6,0.0,0.13,0.26,0.0,0.0,0.0
1,1937,3635,3635,99.45,0.0,0.0,0.55,0.0,0.0,0.0
1,1938,3575,3575,99.72,0.0,0.0,0.28,0.0,0.0,0.0
1,1939,3715,3715,99.73,0.0,0.13,0.13,0.0,0.0,0.0
1,1940,3525,3525,99.72,0.0,0.14,0.14,0.0,0.0,0.0
1,1941,3880,3880,99.74,0.0,0.13,0.13,0.0,0.0,0.0
1,1942,4185,4185,99.76,0.0,0.12,0.12,0.0,0.0,0.0
1,1943,4510,4510,99.45,0.0,0.11,0.44,0.0,0.0,0.0
1,1944,4570,4570,99.67,0.0,0.11,0.22,0.0,0.0,0.0
1,1945,4225,4225,99.29,0.0,0.47,0.24,0.24,0.0,0.0
1,1946,5450,5450,99.54,0.0,0.18,0.28,0.0,0.0,0.0
1,1947,5610,5610,99.29,0.0,0.45,0.27,0.0,0.0,0.0
1,1948,5670,5670,99.65,0.0,0.26,0.09,0.0,0.0,0.0
1,1949,5540,5540,99.46,0.09,0.27,0.18,0.09,0.0,0.0
1,1950,5230,5230,99.71,0.1,0.19,0.0,0.1,0.0,0.0
1,1951,4915,4915,99.49,0.1,0.2,0.2,0.0,0.0,0.0
1,1952,4785,4785,99.37,0.1,0.21,0.31,0.0,0.0,0.0
1,1953,4830,4830,99.28,0.1,0.31,0.31,0.1,0.0,0.0
1,1954,4540,4540,99.23,0.44,0.22,0.11,0.11,0.0,0.0
1,1955,4405,4405,99.32,0.34,0.11,0.23,0.11,0.0,0.0
1,1956,4565,4565,99.23,0.44,0.22,0.11,0.22,0.0,0.0
1,1957,4585,4585,98.8,0.55,0.33,0.22,0.22,0.0,0.0
1,1958,4380,4380,98.97,0.57,0.11,0.34,0.11,0.0,0.0
1,1959,4420,4420,98.19,1.02,0.11,0.34,0.57,0.11,0.0
1,1960,4465,4465,98.54,1.01,0.11,0.22,0.45,0.0,0.0
1,1961,4470,4470,97.99,1.23,0.11,0.34,0.56,0.0,0.0
1,1962,4290,4290,97.79,1.05,0.0,0.7,0.82,0.0,0.0
1,1963,4415,4415,98.07,0.91,0.11,0.68,0.68,0.11,0.0
1,1964,4565,4565,97.15,1.1,0.22,0.99,0.77,0.33,0.0
1,1965,4285,4285,97.67,0.82,0.23,0.7,0.82,0.12,0.0
1,1966,4355,4355,96.79,1.26,0.23,1.26,0.8,0.23,0.0
1,1967,4250,4250,97.29,0.59,0.35,0.82,1.41,0.24,0.0
1,1968,4135,4135,97.34,0.85,0.48,1.09,0.48,0.0,0.0
1,1969,4315,4315,95.83,0.81,0.58,1.51,1.62,0.23,0.0
1,1970,4100,4100,93.78,1.46,0.61,2.93,1.71,0.12,0.0
1,1971,4415,4415,93.54,1.59,0.45,3.17,1.47,0.11,0.0
1,1972,4280,4280,91.94,2.69,0.7,3.39,1.52,0.12,0.0
1,1973,4045,4045,89.99,3.46,0.62,4.45,1.98,0.25,0.0
1,1974,3885,3885,85.59,3.6,0.51,6.69,3.99,0.51,0.0
1,1975,3185,3185,88.38,4.24,0.31,4.55,2.83,0.31,0.0
1,1976,3065,3065,86.46,4.73,0.33,5.22,3.75,0.65,0.0
1,1977,3195,3195,82.79,6.1,0.31,5.16,5.95,0.63,0.0
1,1978,3055,3055,82.16,7.04,0.16,6.38,4.91,0.49,0.0
1,1979,3135,3135,80.86,6.22,0.16,6.22,7.18,1.28,0.0
1,1980,3405,3405,81.64,5.29,0.44,7.78,5.29,1.47,0.0
1,1981,3460,3460,82.37,6.79,0.29,5.78,4.91,1.3,0.0
1,1982,3315,3315,77.68,7.24,0.6,6.79,7.84,1.36,0.0
1,1983,3245,3245,79.82,7.24,0.31,7.09,5.7,0.77,0.0
1,1984,3035,3035,77.59,7.91,0.33,8.73,5.6,0.16,0.0
1,1985,3120,3120,76.12,8.49,0.32,9.78,5.45,0.8,0.0
1,1986,3190,3190,77.12,8.62,0.47,9.87,4.23,0.16,0.0
1,1987,3275,3275,73.13,9.01,0.92,11.6,5.5,0.31,0.0
1,1988,3195,3195,73.71,9.86,1.56,10.8,4.23,0.31,0.0
1,1989,3200,3200,74.22,10.47,1.25,11.56,2.66,0.31,0.0
1,1990,3220,3220,71.43,11.34,1.24,12.42,3.73,0.0,0.0
1,1991,3200,3200,72.34,11.56,1.09,11.56,3.75,0.16,0.0
1,1992,3010,3010,68.94,11.13,1.66,13.12,5.32,0.0,0.0
1,1993,2870,2870,70.21,12.72,1.92,12.02,3.31,0.0,0.0
1,1994,2920,2920,70.89,10.62,2.4,11.13,5.48,0.17,0.0
1,1995,2845,2845,70.65,10.54,2.99,11.25,5.27,0.0,0.18
1,1996,2705,2705,70.43,10.72,3.14,11.09,4.81,0.0,0.0
1,1997,2565,2565,68.81,10.33,3.12,12.87,5.65,0.19,0.0
1,1998,2640,2640,67.8,8.52,3.22,14.77,6.44,0.19,0.0
1,1999,2745,2745,68.31,9.65,3.46,13.11,6.74,0.18,0.0
1,2000,2750,2750,64.36,10.0,4.18,15.82,6.55,0.55,0.0
1,2001,2640,2640,62.31,11.55,4.36,16.48,6.63,0.19,0.0
1,2002,2735,2735,61.06,10.24,4.94,17.55,7.5,0.37,0.0
1,2003,2980,2980,59.23,9.23,6.21,18.62,8.22,0.34,0.0
1,2004,2765,2765,56.24,8.68,6.33,21.52,9.04,0.36,0.18
1,2005,2945,2945,52.63,7.64,7.13,23.77,12.05,0.17,0.0
1,2006,3090,3090,52.1,7.61,7.93,22.49,11.81,0.65,0.49
1,2007,2945,2945,52.12,7.47,8.66,21.22,12.9,0.51,0.17
1,2008,3195,3195,48.98,6.89,9.39,23.0,14.4,0.47,0.16
1,2009,3085,3085,47.65,6.32,10.7,23.5,15.56,0.97,0.16
1,2010,3105,3105,43.48,5.96,12.72,25.6,16.59,0.81,0.16
1,2011,3000,3000,44.5,5.67,12.17,26.83,14.83,1.33,0.33
1,2012,2915,2915,45.28,6.52,10.12,25.39,17.15,0.69,0.17
1,2013,2900,2900,42.93,6.21,11.03,27.07,16.72,0.69,0.17
1,2014,2945,2945,42.78,5.43,13.58,25.81,16.47,1.02,0.34
1,2015,2570,2570,43.58,5.64,11.09,26.07,17.51,0.97,0.39
1,2016,2630,2630,43.54,5.51,12.36,25.29,18.63,1.14,0.19
1,2017,2325,2325,40.0,6.02,12.69,28.39,18.06,1.51,0.22
1,2018,2590,2590,38.03,5.6,12.93,28.57,19.5,1.16,0.58
1,2019,2365,2365,39.32,5.29,12.26,27.06,20.72,1.48,0.42
1,2020,2310,2310,38.74,5.41,13.64,27.06,19.48,1.73,0.0
1,2021,2475,2475,35.76,4.85,16.97,28.28,19.6,1.82,0.2
1,2022,2230,2230,36.1,4.48,15.7,27.35,21.3,1.79,0.22
1,2023,2005,2005,38.65,3.99,14.71,28.93,18.95,1.25,0.5
1,2024,1800,1800,36.39,3.89,15.0,28.61,20.56,1.94,0.28
2,1900,5145,5145,98.06,0.0,0.0,1.94,0.0,0.0,0.0
2,1901,5615,5615,97.95,0.0,0.0,2.05,0.0,0.0,0.0
2,1902,5870,5870,97.96,0.09,0.0,1.96,0.0,0.0,0.0
2,1903,5765,5765,98.09,0.0,0.0,1.91,0.0,0.0,0.0
2,1904,5970,5970,98.41,0.0,0.0,1.59,0.0,0.0,0.0
2,1905,5965,5965,98.24,0.0,0.0,1.68,0.08,0.0,0.0
2,1906,6520,6520,98.31,0.0,0.0,1.69,0.0,0.0,0.0
2,1907,6395,6395,98.44,0.0,0.0,1.56,0.0,0.0,0.0
2,1908,6710,6710,98.73,0.0,0.0,1.27,0.0,0.0,0.0
