country,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
france entiere,1900,396435,396400,98.53,0.01,0.15,1.27,0.07,0.0,0.0
france entiere,1901,435000,434985,98.5,0.02,0.16,1.28,0.07,0.0,0.0
france entiere,1902,446825,446805,98.5,0.02,0.15,1.29,0.06,0.0,0.0
france entiere,1903,449925,449880,98.55,0.02,0.15,1.25,0.06,0.0,0.0
france entiere,1904,460395,460335,98.54,0.02,0.13,1.28,0.06,0.0,0.0
france entiere,1905,470120,470070,98.57,0.02,0.14,1.23,0.07,0.0,0.0
france entiere,1906,482205,482180,98.56,0.02,0.15,1.24,0.06,0.0,0.0
france entiere,1907,481720,481705,98.54,0.02,0.16,1.25,0.07,0.0,0.0
france entiere,1908,505035,505020,98.52,0.02,0.15,1.28,0.07,0.0,0.0
france entiere,1909,506105,506055,98.6,0.02,0.15,1.2,0.07,0.0,0.0
france entiere,1910,515525,515490,98.57,0.02,0.14,1.23,0.08,0.0,0.0
france entiere,1911,494015,493995,98.56,0.02,0.16,1.21,0.08,0.0,0.0
france entiere,1912,525305,525285,98.53,0.02,0.14,1.26,0.09,0.0,0.0
france entiere,1913,527180,527165,98.56,0.02,0.13,1.26,0.08,0.0,0.0
france entiere,1914,518615,518580,98.63,0.01,0.13,1.2,0.07,0.0,0.0
france entiere,1915,334200,334190,98.72,0.02,0.11,1.12,0.07,0.0,0.0
france entiere,1916,266325,266320,98.7,0.01,0.12,1.12,0.08,0.0,0.0
france entiere,1917,289370,289360,98.74,0.02,0.12,1.09,0.06,0.0,0.0
france entiere,1918,331100,331085,98.87,0.02,0.09,0.98,0.06,0.0,0.0
france entiere,1919,368835,368830,99.02,0.01,0.09,0.86,0.05,0.0,0.0
france entiere,1920,627640,627630,98.99,0.01,0.08,0.88,0.06,0.0,0.0
france entiere,1921,615515,615500,98.97,0.02,0.07,0.9,0.06,0.0,0.0
france entiere,1922,589215,589210,98.97,0.02,0.08,0.9,0.05,0.0,0.0
france entiere,1923,593960,593930,98.83,0.02,0.09,1.03,0.06,0.0,0.0
france entiere,1924,595075,595060,98.63,0.02,0.13,1.19,0.07,0.0,0.0
france entiere,1925,611300,611280,98.52,0.03,0.11,1.32,0.07,0.0,0.0
france entiere,1926,613200,613170,98.48,0.03,0.11,1.34,0.08,0.0,0.0
france entiere,1927,607590,607570,98.53,0.03,0.12,1.28,0.07,0.0,0.0
france entiere,1928,612425,612420,98.65,0.03,0.11,1.18,0.06,0.0,0.0
france entiere,1929,604025,604005,98.61,0.03,0.12,1.2,0.07,0.0,0.0
france entiere,1930,631185,631155,98.51,0.03,0.13,1.29,0.07,0.0,0.0
france entiere,1931,624230,624200,98.45,0.03,0.14,1.34,0.07,0.0,0.0
france entiere,1932,616985,616965,98.6,0.04,0.16,1.18,0.07,0.0,0.0
france entiere,1933,585290,585265,98.75,0.04,0.16,1.02,0.07,0.0,0.0
france entiere,1934,590175,590150,98.73,0.05,0.18,1.0,0.06,0.0,0.01
france entiere,1935,562105,562065,98.78,0.07,0.19,0.93,0.04,0.0,0.0
france entiere,1936,556775,556760,98.8,0.08,0.26,0.83,0.05,0.0,0.0
france entiere,1937,549385,549350,98.73,0.1,0.28,0.85,0.07,0.0,0.0
france entiere,1938,544190,544190,98.74,0.11,0.31,0.8,0.06,0.0,0.0
france entiere,1939,543985,543955,98.7,0.12,0.34,0.79,0.07,0.0,0.0
france entiere,1940,492940,492910,98.76,0.12,0.31,0.77,0.07,0.01,0.0
france entiere,1941,466720,466700,98.38,0.14,0.39,1.05,0.07,0.0,0.0
france entiere,1942,515875,515820,98.38,0.16,0.39,1.02,0.08,0.0,0.0
france entiere,1943,557580,557500,98.32,0.17,0.44,1.01,0.09,0.0,0.0
france entiere,1944,563040,562955,98.28,0.18,0.47,1.01,0.1,0.0,0.0
france entiere,1945,570305,570290,98.38,0.22,0.51,0.8,0.13,0.01,0.0
france entiere,1946,841240,841225,98.28,0.26,0.56,0.8,0.15,0.01,0.0
france entiere,1947,867985,867945,98.22,0.29,0.62,0.77,0.16,0.01,0.0
france entiere,1948,866475,866435,98.09,0.34,0.63,0.82,0.18,0.02,0.0
france entiere,1949,867585,867540,97.99,0.36,0.62,0.9,0.21,0.02,0.0
france entiere,1950,856940,856915,97.86,0.41,0.62,0.93,0.26,0.03,0.0
france entiere,1951,822455,822435,97.65,0.47,0.7,0.95,0.32,0.04,0.0
france entiere,1952,819800,819755,97.58,0.56,0.63,0.98,0.37,0.04,0.0
france entiere,1953,802700,802675,97.38,0.61,0.63,1.07,0.45,0.07,0.0
france entiere,1954,807450,807425,97.21,0.68,0.61,1.13,0.54,0.08,0.0
france entiere,1955,803595,803570,96.91,0.78,0.63,1.21,0.64,0.1,0.0
france entiere,1956,803900,803870,96.69,0.78,0.59,1.36,0.75,0.13,0.0
france entiere,1957,812655,812625,96.52,0.84,0.54,1.43,0.85,0.16,0.0
france entiere,1958,807405,807390,96.37,0.86,0.49,1.54,0.94,0.18,0.0
france entiere,1959,822880,822870,96.01,0.94,0.47,1.75,1.04,0.19,0.0
france entiere,1960,814035,814000,95.51,1.02,0.47,1.92,1.32,0.24,0.0
france entiere,1961,831405,831395,95.32,1.02,0.43,1.94,1.56,0.3,0.0
france entiere,1962,825875,825860,95.1,1.06,0.42,2.0,1.72,0.34,0.0
france entiere,1963,861325,861300,95.05,0.97,0.41,2.06,1.82,0.34,0.0
france entiere,1964,869015,868985,94.99,0.86,0.4,2.06,1.97,0.39,0.0
france entiere,1965,857195,857170,95.0,0.78,0.41,2.03,2.05,0.41,0.0
france entiere,1966,853115,853095,94.5,0.88,0.47,2.22,2.22,0.44,0.0
france entiere,1967,827965,827930,94.01,0.92,0.54,2.49,2.44,0.44,0.0
france entiere,1968,818815,818785,93.77,0.91,0.63,2.7,2.35,0.42,0.0
france entiere,1969,820750,820740,93.11,1.09,0.74,2.98,2.42,0.45,0.0
france entiere,1970,823330,823315,92.24,1.32,0.83,3.49,2.49,0.42,0.0
france entiere,1971,851860,851840,90.99,1.86,0.86,4.05,2.63,0.43,0.0
france entiere,1972,844235,844225,89.18,2.68,0.82,4.98,2.75,0.44,0.0
france entiere,1973,820720,820710,87.71,3.13,0.81,5.73,2.96,0.49,0.0
france entiere,1974,761985,761970,86.5,3.35,0.77,6.38,3.32,0.58,0.01
france entiere,1975,703595,703585,85.08,4.16,0.77,6.8,3.5,0.61,0.0
france entiere,1976,674575,674570,84.17,4.67,0.72,7.01,3.73,0.63,0.01
france entiere,1977,693760,693755,82.49,5.58,0.74,7.44,4.1,0.69,0.0
