COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
1001,1,L'Abergement-Clémenciat,859,0.0,0,7.0,0.2,0.0,0,0,0.0,46,65,45,85,24
1002,1,L'Abergement-de-Varey,273,0.0,0,0.0,17.1,0.0,0,0,0.0,33,65,45,85,21
1004,1,Ambérieu-en-Bugey,15554,11.54,1,30.0,50.4,9.0,140,2,12.86,157,193,218,153,208
1005,1,Ambérieux-en-Dombes,1917,0.0,0,14.0,15.8,0.0,0,0,0.0,54,65,45,85,39
1006,1,Ambléon,114,0.0,0,0.0,11.1,0.0,0,0,0.0,33,65,45,85,19
1007,1,Ambronay,2828,0.0,0,11.0,59.7,0.0,0,0,0.0,67,65,45,85,50
1008,1,Ambutrix,764,0.0,0,5.0,17.1,0.0,0,0,0.0,46,65,45,85,27
1009,1,Andert-et-Condon,335,0.0,0,0.0,11.1,0.0,0,0,0.0,37,65,45,85,19
1010,1,Anglefort,1150,0.0,0,9.0,24.2,0.0,0,0,0.0,55,65,45,85,35
1011,1,Apremont,399,0.0,0,15.0,37.8,0.0,0,0,0.0,44,65,45,85,48
1012,1,Aranc,329,0.0,0,7.0,37.8,0.0,0,0,0.0,37,65,45,85,37
1013,1,Arandas,140,0.0,0,3.0,17.1,0.0,0,0,0.0,39,65,45,85,25
1014,1,Arbent,3482,0.0,0,28.0,134.6,0.0,0,0,0.0,68,65,91,120,99
1015,1,Arboys en Bugey,688,0.0,0,1.0,11.1,0.0,0,0,0.0,43,65,45,85,20
1016,1,Arbigny,459,0.0,0,3.0,13.7,0.0,0,0,0.0,40,65,45,85,23
1017,1,Argis,420,0.0,0,3.0,17.1,0.0,0,0,0.0,41,65,45,85,25
1019,1,Armix,25,0.0,0,0.0,11.2,0.0,0,0,0.0,7,65,45,85,19
