COG,commune,population,subvention_commune,subvention_EPCI_distributed,total_subventions,total_subventions_parHab
1001,L'Abergement-Clémenciat,859,0,179,179,0.2
1002,L'Abergement-de-Varey,273,0,4659,4659,17.1
1004,Ambérieu-en-Bugey,15554,518685,265448,784133,50.4
1005,Ambérieux-en-Dombes,1917,0,30361,30361,15.8
1006,Ambléon,114,0,1271,1271,11.1
1007,Ambronay,2828,120632,48263,168895,59.7
1008,Ambutrix,764,0,13039,13039,17.1
1009,Andert-et-Condon,335,0,3734,3734,11.1
1010,Anglefort,1150,0,27777,27777,24.2
1011,Apremont,399,0,15093,15093,37.8
1012,Aranc,329,0,12445,12445,37.8
1013,Arandas,140,0,2389,2389,17.1
1014,Arbent,3482,336937,131717,468654,134.6
1015,Arboys en Bugey,688,0,7668,7668,11.1
1016,Arbigny,459,0,6304,6304,13.7
1017,Argis,420,0,7168,7168,17.1
1019,Armix,25,0,279,279,11.2
1021,Ars-sur-Formans,1513,0,23963,23963,15.8
1022,Artemare,1141,0,12717,12717,11.1
1023,Asnières-sur-Saône,77,0,1057,1057,13.7
1024,Attignat,3372,75117,65189,140306,41.6
1025,Bâgé-Dommartin,4057,23600,55717,79317,19.6
1026,Bâgé-le-Châtel,987,0,13555,13555,13.7
1027,Balan,2878,0,39187,39187,13.6
1028,Baneins,618,0,129,129,0.2
1029,Beaupont,717,0,13861,13861,19.3
1030,Beauregard,826,0,13082,13082,15.8
1031,Bellignat,3581,281456,135462,416918,116.4
1032,Béligneux,3484,29819,47438,77257,22.2
1033,Valserhône,16162,616534,194632,811166,50.2
1034,Belley,9270,402375,103318,505693,54.6
1035,Belleydoux,306,0,11575,11575,37.8
1036,Valromey-sur-Séran,1350,0,15046,15046,11.1
1037,Bénonces,311,0,5308,5308,17.1
1038,Bény,769,0,14867,14867,19.3
1040,Béréziat,481,0,9299,9299,19.3
1041,Bettant,762,0,13004,13004,17.1
1042,Bey,290,0,1174,1174,4.0
1043,Beynost,4936,178900,159132,338032,68.5
1044,Billiat,669,0,8056,8056,12.0
1045,Birieux,280,0,58,58,0.2
1046,Biziat,897,0,3633,3633,4.1
1047,Blyes,1351,0,23056,23056,17.1
1049,La Boisse,3401,69292,46308,115600,34.0
1050,Boissey,390,0,5356,5356,13.7
1051,Bolozon,99,0,3745,3745,37.8
1052,Bouligneux,323,0,67,67,0.2
1053,Bourg-en-Bresse,42065,2978072,813221,3791293,90.1
1054,Bourg-Saint-Christophe,1540,0,26282,26282,17.1
1056,Boyeux-Saint-Jérôme,362,0,5187,5187,14.3
1057,Boz,509,0,6990,6990,13.7
1058,Brégnier-Cordon,812,0,9050,9050,11.1
1060,Brénod,547,0,20692,20692,37.8
1061,Brens,1117,0,12449,12449,11.1
1062,Bressolles,1003,0,13657,13657,13.6
1063,Brion,591,0,22356,22356,37.8
1064,Briord,1102,0,18807,18807,17.1
1065,Buellas,1884,0,36422,36422,19.3
1066,La Burbanche,97,0,1081,1081,11.1
1067,Ceignes,263,0,9949,9949,37.8
1068,Cerdon,755,0,10818,10818,14.3
1069,Certines,1518,0,29347,29347,19.3
1071,Cessy,5570,68657,71699,140356,25.2
1072,Ceyzériat,3306,38204,63913,102117,30.9
