DEP,annee,Homicides_p100k,Tentatives_d_homicides_p100k,Coups_et_blessures_volontaires_p1k,Coups_et_blessures_volontaires_intrafamiliaux_p1k,Autres_coups_et_blessures_volontaires_p1k,Violences_sexuelles_p1k,Vols_avec_armes_p1k,Vols_violents_sans_arme_p1k,Vols_sans_violence_contre_des_personnes_p1k,Cambriolages_de_logement_p1k,Vols_de_véhicules_p1k,Vols_dans_les_véhicules_p1k,Vols_d_accessoires_sur_véhicules_p1k,Destructions_et_dégradations_volontaires_p1k,Usage_de_stupéfiants_p1k,Usage_de_stupéfiants_AFD_p1k,Trafic_de_stupéfiants_p1k,Escroqueries_p1k
01,2016,0.7832,2.0363,2.2195,1.1278,1.0917,0.6218,0.0486,0.2177,5.0217,7.6015,2.0112,2.2681,1.5413,6.3719,2.3072,0.0,0.6955,2.7145
01,2017,1.088,1.8652,2.2103,1.0088,1.2015,0.6793,0.0513,0.1741,4.8838,8.1198,1.5963,2.4015,1.3119,6.8563,2.1994,0.0,0.4181,2.9719
01,2018,1.0809,2.1617,2.2775,1.0886,1.1889,0.8199,0.0463,0.1745,4.9117,8.425,1.9332,2.5045,1.2893,6.8187,1.8498,0.0,0.3057,3.1731
01,2019,0.6131,0.9196,2.4263,1.2262,1.2001,0.9503,0.0843,0.2146,4.5583,9.5572,1.8807,2.2163,1.4101,6.8865,1.9956,0.0,0.2851,3.5667
01,2020,0.456,1.8241,2.4093,1.3301,1.0793,1.02,0.0699,0.1642,3.782,6.4376,1.2191,1.777,1.0534,6.1123,1.7846,0.266,0.3223,4.0966
01,2021,0.4523,1.357,2.7639,1.4053,1.3586,1.256,0.0377,0.1463,4.4738,6.295,1.3314,1.8803,1.0917,6.262,1.8757,0.8926,0.3981,4.9367
01,2022,1.3407,2.0855,3.1909,1.9098,1.2811,1.3571,0.0506,0.1698,4.7953,7.2987,1.5656,1.9679,1.4405,6.3281,2.1556,1.3362,0.3203,5.3375
01,2023,0.4469,1.9366,3.4575,2.0021,1.4554,1.2975,0.0566,0.1654,4.3528,6.4194,1.7816,2.525,1.2528,6.3177,2.4014,1.6416,0.3441,5.6801
01,2024,0.8938,3.5752,3.7242,2.3611,1.363,1.5984,0.0506,0.2071,4.6269,8.545,1.8025,2.5682,1.2022,6.2581,2.303,1.6371,0.3084,5.8842
02,2016,1.8652,2.4248,3.4842,1.7384,1.7458,0.899,0.0653,0.3395,5.3214,5.9505,2.0499,2.1636,1.4381,9.4659,2.0014,0.0,0.3768,2.8649
02,2017,2.058,1.6838,3.3939,1.624,1.7699,1.0533,0.1066,0.3555,5.4164,6.4696,1.884,2.4285,1.5809,9.7719,1.8653,0.0,0.2301,3.0721
