dept_code,population,subvention_departement,subvention_region_distributed,total_subventions,total_subventions_parHab
1,671289,19351774,14550642,33902416,50.5
10,311076,11521236,9425538,20946774,67.3
11,377773,10145424,9509959,19655383,52.0
12,279736,11902118,7085359,18987477,67.9
13,2069811,105903651,76939922,182843573,88.3
14,704605,13670976,15414220,29085196,41.3
15,144399,4116079,3193414,7309493,50.6
16,351603,9921188,14803457,24724645,70.3
17,668160,15340619,27598132,42938751,64.3
18,299496,13103128,10959688,24062816,80.3
19,240120,8177593,10067266,18244859,76.0
2,525558,13526368,15491368,29017736,55.2
21,537577,12536402,12253956,24790358,46.1
22,609598,21982047,15990877,37972924,62.3
23,115529,4745658,4882112,9627770,83.3
24,416325,9695057,17374631,27069688,65.0
25,548662,16467612,12485969,28953581,52.8
26,521432,9101438,11450831,20552269,39.4
27,601305,11870226,13251314,25121540,41.8
28,432950,4578588,15712736,20291324,46.9
29,927912,23336227,24296761,47632988,51.3
2A,166045,14385769,0,14385769,86.6
2B,185231,16048001,0,16048001,86.6
3,334715,11557875,7423513,18981388,56.7
30,764010,22826735,19045847,41872582,54.8
31,1456261,25387288,35882680,61269968,42.1
32,192649,5547908,4861695,10409603,54.0
33,1674980,31568817,68874052,100442869,60.0
34,1217331,18946727,30134788,49081515,40.3
35,1109232,12747493,28844587,41592080,37.5
36,216809,4170920,7965097,12136017,56.0
37,616326,13121147,22292780,35413927,57.5
38,1291380,27900108,28256388,56156496,43.5
39,258405,10021253,5926798,15948051,61.7
4,167179,5693356,6215503,11908859,71.2
40,428427,18722314,17598334,36320648,84.8
41,328953,11060775,11994862,23055637,70.1
42,772041,24757235,16998073,41755308,54.1
43,228161,4982857,5031665,10014522,43.9
44,1473156,33816885,27319758,61136643,41.5
45,687063,14162364,24848850,39011214,56.8
46,175620,7123276,4427050,11550326,65.8
47,332226,6962048,13924891,20886939,62.9
48,76503,5807060,1942280,7749340,101.3
49,828151,6090208,15514898,21605106,26.1
5,141677,5524740,5282113,10806853,76.3
50,496815,19931994,10940442,30872436,62.1
51,564107,12059060,17149857,29208917,51.8
52,169865,3397169,5199443,8596612,50.6
53,305437,7802608,5787379,13589987,44.5
54,732898,11178392,22139535,33317927,45.5
55,180745,9236021,5478545,14714566,81.4
56,776103,15923731,20282326,36206057,46.7
57,1050721,16957442,31744876,48702318,46.4
58,202299,6490264,4608213,11098477,54.9
59,2616909,77185751,76561669,153747420,58.8
6,1114579,28709143,41226442,69935585,62.7
60,830725,12496761,24289516,36786277,44.3
61,276144,8151533,6153030,14304563,51.8
62,1460184,16811707,42712888,59524595,40.8
63,664385,22743850,14645662,37389512,56.3
64,699473,23543364,28924735,52468099,75.0
65,231453,9353419,5835053,15188472,65.6
66,492964,13667985,12375794,26043779,52.8
67,1156963,33283504,34854258,68137762,58.9
68,767800,22088065,23215753,45303818,59.0
69,1907982,4471048,41795583,46266631,24.2
7,333229,11977464,7284102,19261566,57.8
70,233920,4224691,5366725,9591416,41.0
71,549136,11684982,12580849,24265831,44.2
72,566129,8477234,10699249,19176483,33.9
73,445288,22925316,9822727,32748043,73.5
74,849583,25471445,18570506,44041951,51.8
75,2113705,309877983,53579098,363457081,172.0
76,1260205,21665953,27728723,49394676,39.2
77,1452399,28293505,36970940,65264445,44.9
78,1470778,9411589,37444985,46856574,31.9
79,375415,5451998,15649361,21101359,56.2
8,267204,3868915,8162464,12031379,45.0
80,565540,27595960,16614679,44210639,78.2
81,396168,12159637,9963106,22122743,55.8
82,264924,8314903,6692102,15007005,56.6
83,1108364,31953757,41213481,73167238,66.0
84,568702,15570898,21281914,36852812,64.8
85,706343,18019050,13157321,31176371,44.1
86,438688,9824649,18453288,28277937,64.5
87,372438,3741756,15595656,19337412,51.9
88,358700,10599865,10912360,21512225,60.0
89,333896,8468466,7631155,16099621,48.2
9,155339,7011330,3901998,10913328,70.3
90,140082,4541555,3198251,7739806,55.3
91,1324546,35848129,33686233,69534362,52.5
92,1647435,37179249,41959870,79139119,48.0
93,1681725,75478544,42888631,118367175,70.4
94,1419531,32593065,36173815,68766880,48.4
95,1270845,17399070,32395914,49794984,39.2
971,383569,7572478,25777263,33349741,86.9
972,361019,21813523,0,21813523,60.4
973,288382,21242008,0,21242008,73.7
974,881348,60609696,68746267,129355963,146.8
976,256518,18759731,0,18759731,73.1
