Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
country,france metro,60719178,5127077,65846255,57657848,3061330,544845,233567,188756,537623,426370,578940,518887,237932,919407,206637,734113
country,france entiere,62483885,5276688,67760573,59379775,3104110,545226,234141,189447,540361,427227,579273,519204,238068,930886,206649,866204
dept,2B,167054,18178,185231,161834,5220,3757,1364,301,2859,671,784,6724,620,453,8,637
com,2A004,69070,6272,75343,67234,1836,2129,437,155,565,211,105,1369,1032,121,1,147
dept,2A,152012,14033,166045,147643,4369,5196,1298,262,1816,424,232,2910,1304,251,6,334
dept-,2A,82942,7761,90702,80409,2533,3067,861,107,1251,213,127,1541,272,130,5,187
com,95585,43679,14897,58576,33256,10423,603,96,171,533,214,1247,1170,568,5112,1336,3847
com,95127,53029,16550,69578,44279,8750,562,254,180,489,276,1746,1620,1091,7220,268,2844
com,95018,80966,26168,107135,67625,13341,3089,500,363,896,467,5804,5007,1392,5007,542,3101
com,94081,70607,24675,95282,58807,11800,2278,482,177,1201,675,4201,1326,1459,5971,184,6721
com,94076,46488,11654,58142,39021,7467,834,384,217,611,357,1888,841,780,2592,163,2987
com,94068,68686,7324,76010,63270,5416,1804,203,114,971,572,767,201,283,1079,85,1245
com,94046,51220,6201,57422,46518,4702,667,142,107,695,379,880,467,469,887,64,1444
com,94041,47579,16947,64526,39837,7742,881,390,207,1441,600,2541,929,1078,4171,66,4643
com,94033,45083,7563,52646,40124,4959,830,340,144,845,422,810,258,590,1553,198,1573
com,94028,75736,17123,92859,63451,12285,824,239,163,709,516,2266,1230,1331,4620,230,4995
com,94017,61787,16581,78367,53343,8444,3714,293,176,1060,723,2055,892,799,4557,353,1959
com,93071,37018,14621,51640,29999,7019,1019,122,103,817,501,2252,1577,392,4380,642,2816
com,93070,41651,11391,53041,34120,7531,537,177,219,719,478,2005,1581,746,2725,65,2139
com,93066,102248,46658,148907,80328,21920,2592,557,625,2526,1611,8434,3784,2276,14814,1016,8423
com,93055,45675,15280,60954,38861,6814,514,342,228,806,529,2020,1018,1265,4109,285,4164
com,93051,58480,13151,71632,49195,9285,1704,208,268,846,477,1242,648,617,3966,194,2981
com,93048,89515,21243,110758,77841,11674,1363,664,360,2179,1098,3215,1192,1197,6939,388,2648
com,93031,39233,14332,53564,30754,8479,899,113,166,537,288,2117,1766,697,3937,588,3224
com,93029,50221,21092,71312,40778,9443,1535,437,247,2098,1670,3124,1307,834,3058,1171,5611
com,93010,36727,14339,51066,29302,7425,788,197,167,832,616,2482,1770,746,3561,818,2362
com,93008,36805,18467,55270,29099,7706,529,200,160,721,709,2997,1402,909,4554,468,5818
com,93007,40729,19184,59912,32553,8176,1118,333,260,2191,1120,2350,1553,645,3621,890,5103
com,93005,64516,21845,86360,52675,11841,1691,405,308,2637,1175,2936,2621,1022,4965,973,3112
com,93001,53743,35746,89489,40983,12760,1201,369,406,1160,1382,5630,3033,2612,9567,533,9853
com,92063,72110,8733,80842,65871,6239,1207,362,189,891,401,960,824,795,1627,43,1434
com,92051,52387,6813,59200,48271,4116,656,405,368,979,533,274,335,133,589,41,2500
com,92050,78452,19666,98119,67024,11428,1497,440,269,951,576,3657,3156,1268,4912,179,2761
com,92044,61121,7293,68412,56124,4997,637,263,476,778,494,478,849,422,823,40,2033
com,92040,60260,7435,67695,54990,5270,727,283,250,712,510,817,642,467,969,76,1982
com,92036,38785,12086,50874,31273,7512,528,209,86,407,153,1969,3889,494,2015,159,2177
