cog,commune,prenom,nom,sexe,dateNais,dateMandat,famille_nuance,nuance_politique
1001,L'Abergement-Clémenciat,Daniel,BOULON,M,1951-03-04,2020-05-18,Non classé,NC
1002,L'Abergement-De-Varey,Max,ORSET,M,1947-11-02,2020-05-18,Non classé,NC
1004,Ambérieu-En-Bugey,Daniel,FABRE,M,1961-09-07,2020-05-18,Centre,LDVC
1005,Ambérieux-En-Dombes,Christine,FORNES,F,1962-07-06,2021-05-02,,
1006,Ambléon,Annie,BIONDA,F,1951-11-28,2020-05-18,Non classé,NC
1007,Ambronay,Vincent,MANCUSO,M,1960-07-02,2023-03-26,Non classé,LNC
1008,Ambutrix,Dominique,DELOFFRE,M,1962-10-03,2020-05-18,Non classé,NC
1009,Andert-Et-Condon,Patrick,GUILLERMIN,M,1965-07-20,2020-05-18,Non classé,NC
1011,Apremont,Claude,DOCHE,M,1943-12-16,2020-06-28,Non classé,NC
1012,Aranc,Daniel,MATHIEU,M,1948-04-02,2020-06-28,Non classé,NC
1013,Arandas,Lionel,MANOS,M,1968-10-13,2020-05-18,Non classé,NC
1014,Arbent,Philippe,CRACCHIOLO,M,1956-01-24,2020-05-18,Non classé,LNC
1015,Arboys En Bugey,Michel-Charles,RIERA,M,1945-12-28,2020-05-18,Non classé,NC
1016,Arbigny,Daniel,GRAS,M,1948-08-10,2020-05-18,Non classé,NC
1017,Argis,Laurent,BOU,M,1965-11-29,2022-10-02,,
1019,Armix,Véronique,VUILLOUD,F,1964-08-28,2020-05-18,Non classé,NC
1021,Ars-Sur-Formans,Richard,PACCAUD,M,1952-11-21,2020-05-18,Non classé,LNC
1022,Artemare,Roland,DESCHAMPS,M,1956-05-10,2020-05-18,Non classé,LNC
1023,Asnières-Sur-Saône,Jean-Marc,WILLEMS,M,1951-09-30,2020-05-18,Non classé,NC
1024,Attignat,Walter,MARTIN,M,1966-05-07,2020-05-18,Non classé,LNC
1025,Bâgé-Dommartin,Christian,BERNIGAUD,M,1956-09-13,2020-05-18,Courants politiques divers,LDIV
1026,Bâgé-Le-Châtel,Jean Louis,MALATERRE,M,1955-06-11,2020-05-18,Non classé,NC
1027,Balan,Patrick,MEANT,M,1962-01-05,2020-05-18,Non classé,LNC
1028,Baneins,Jean-Pierre,GRANGE,M,1964-05-28,2020-05-18,Non classé,NC
1029,Beaupont,Gérard,JANODET,M,1962-12-07,2020-05-18,Non classé,NC
1030,Beauregard,Nadia,GUYON,F,1953-02-24,2023-03-19,Non classé,NC
1031,Bellignat,Véronique,RAVET,F,1968-05-10,2020-05-18,Gauche,LDVG
1032,Béligneux,Philippe,FERRAND,M,1952-07-04,2020-05-18,,
1033,Valserhône,Régis,PETIT,M,1956-04-06,2020-05-18,Droite,LDVD
1034,Belley,Dimitri,LAHUERTA,M,1980-10-20,2020-06-28,Droite,LDVD
1035,Belleydoux,Pascal,COURTOIS,M,1964-06-23,2020-05-18,Non classé,NC
1036,Valromey-Sur-Seran,Pauline,GODET,F,1982-05-12,2020-05-18,Non classé,LNC
1037,Bénonces,Sylvie,RIGHETTI-GILOTTE,F,1965-04-14,2020-05-18,Non classé,NC
1038,Bény,Patrick,BAVOUX,M,1957-07-25,2020-05-18,Non classé,NC
1040,Béréziat,Jean-Jacques,THEVENON,M,1951-09-15,2020-05-18,Non classé,NC
1041,Bettant,Marie-Françoise,VIGNOLLET,F,1954-05-05,2020-05-18,Non classé,NC
1042,Bey,Michel,GENTIL,M,1949-10-06,2020-05-18,Non classé,NC
1043,Beynost,Caroline,TERRIER,F,1965-11-27,2020-06-28,Droite,LDVD
1044,Billiat,Jean-Marc,BEAUQUIS,M,1955-11-29,2020-05-18,Non classé,NC
1045,Birieux,Cyril,BAILLET,M,1982-12-05,2020-06-28,Non classé,NC
1046,Biziat,Guillaume,AGATY,M,1974-04-23,2020-05-18,Non classé,NC
1047,Blyes,Daniel,MARTIN,M,1951-02-08,2020-05-18,Non classé,LNC
1049,La Boisse,Gérard,RAPHANEL,M,1961-04-26,2020-05-18,Non classé,LNC
1050,Boissey,Andrée,TIRREAU,F,1950-05-09,2020-05-18,Non classé,NC
1051,Bolozon,Etienne,GIROD,M,1957-06-30,2020-05-18,Non classé,NC
1052,Bouligneux,Laurent,COMTET,M,1968-06-02,2020-05-18,Non classé,NC
1053,Bourg-En-Bresse,Jean-François,DEBAT,M,1966-01-24,2020-06-28,Gauche,LUG
1054,Bourg-Saint-Christophe,Bernard,PERRET,M,1952-06-09,2020-05-18,Non classé,LNC
1056,Boyeux-Saint-Jérôme,Marie-Christine,CHAPEL,F,1965-06-12,2020-05-18,Non classé,NC
1057,Boz,Alain,GIRAUD,M,1950-03-31,2020-05-18,Non classé,NC
1058,Brégnier-Cordon,Thierry,VERGAIN,M,1960-12-08,2020-06-28,Non classé,NC
1060,Brénod,Etienne,RAVOT,M,1956-01-03,2020-06-28,Non classé,NC
1061,Brens,Sandrine,LACHIZE PICCINO,F,1978-03-17,2024-11-30,Non classé,LNC
1062,Bressolles,Andrée,RACCURT,F,1956-09-03,2020-05-18,Non classé,NC
1063,Brion,Sébastien,GUINET,M,1974-06-15,2020-05-18,Non classé,NC
1064,Briord,Patrick,BLANC,M,1957-08-11,2020-05-18,Non classé,LNC
1065,Buellas,Michel,CHANEL,M,1953-10-30,2020-10-09,,
1066,La Burbanche,Patrick,MARIÉ,M,1958-06-29,2020-05-18,Non classé,NC
1067,Ceignes,Alain,AUBOEUF,M,1961-06-14,2020-05-18,Non classé,NC
1068,Cerdon,Eric,CASAMASSA,M,1969-08-24,2020-05-18,Non classé,NC
1069,Certines,Denis,TAVEL,M,1954-11-29,2020-05-18,,
1071,Cessy,Christophe,BOUVIER,M,1963-05-06,2020-05-18,Droite,LDVD
1072,Ceyzériat,Jean-Yves,FLOCHON,M,1958-08-15,2020-05-18,Non classé,LNC
1073,Ceyzérieu,Myriam,KELLER,F,1976-05-07,2020-05-18,Non classé,LNC
1074,Chalamont,Bruno,CHARVIEUX,M,1964-02-27,2020-05-18,Non classé,LNC
1075,Chaleins,Lucien,MOLINES,M,1952-01-30,2020-05-18,Non classé,LNC
1076,Chaley,Ludovic,PUIGMAL,M,1963-04-25,2020-05-18,Non classé,NC
1077,Challes-La-Montagne,Yves,PERRET,M,1954-03-15,2020-06-28,Non classé,NC
1078,Challex,Aline,HOFER FAVRE,F,1976-08-31,2023-04-02,,
1079,Champagne-En-Valromey,Claude,JUILLET,M,1952-10-13,2020-06-28,Non classé,NC
