departement,commune,code postal,adresse,nom,COG,validation,latitude,longitude,confidenceCoordinates
1,Ambérieu-en-Bugey,1500,Avenue Paul Painlevé - 01500 AMBÉRIEU-EN-BUGEY,Salle de prière,1004,exact_match,45.9574520620214,5.33829656620922,1
1,Ambérieu-en-Bugey,1500,11 Rue de la Résistance - 01500 AMBÉRIEU-EN-BUGEY,Salle de prière,1004,exact_match,45.9581791,5.3474721,1
1,Valserhône,1200,4 rue Beau site - 01200 BELLEGARDE SUR VALSERINE,Mosquée,1033,mapped_to_Valserhône,46.1034704,5.8147593,1
1,Valserhône,1200,Allée Maryse Bastié - 01200 CHÂTILLON-EN-MICHAILLE,Salle de prière,1033,mapped_to_Valserhône,46.1196624929656,5.80634076274651,1
1,Valserhône,1200,2 Rue du Dépôt - 01200 BELLEGARDE-SUR-VALSERINE,Salle de prière,1033,mapped_to_Valserhône,46.110878,5.8276179,1
1,Valserhône,1200,Rue de l'Avenir - 01200 BELLEGARDE-SUR-VALSERINE,Salle de prière,1033,mapped_to_Valserhône,46.1017266002636,5.81677014338431,1
1,Valserhône,1200,16 rue de l'Avenir - 01200 BELLEGARDE SUR VALSERINE,Mosquée,1033,mapped_to_Valserhône,46.1017266002636,5.81677014338431,0.5
1,Valserhône,1200,65/69 allee Maryse Bastie - 01200 BELLEGARDE SUR VALSERINE,Salle de prière,1033,mapped_to_Valserhône,46.1196624929656,5.80634076274651,0.5
1,Valserhône,1200,14 rue Louis Dumont - 01200 BELLEGARDE SUR VALSERINE,Salle de prière,1033,mapped_to_Valserhône,46.1127372183582,5.82596521488767,0.5
1,Belley,1300,Rue de Savoie - 01300 BELLEY,Salle de prière,1034,exact_match,45.7557667871192,5.6895130978668,1
1,Belley,1300,Avenue Vulliod - 01300 BELLEY,Association islamique turque,1034,exact_match,45.7536491667382,5.69611997715408,0.9
1,Belley,1300,ZI Coron - 01300 BELLEY,Association islamique turque,1034,exact_match,45.760758,5.6861466,0.5
1,Bourg-en-Bresse,1000,29 rue de la Croix Blanche - 01000 BOURG-EN-BRESSE,Mosquée El-Mohssinine,1053,exact_match,46.205298,5.248004,1
1,Bourg-en-Bresse,1000,5 Rue du Pont des Chèvres - 01000 BOURG-EN-BRESSE,Mosquée Et-Taqwa,1053,exact_match,46.2104182,5.2215373,1
1,Bourg-en-Bresse,1000,148 Avenue Amédée Mercier - 01000 BOURG-EN-BRESSE,Salle de prière,1053,exact_match,46.197762,5.261012,1
